Task ID,TF1,TF2,TF3,TF4,TF5,TF6,TF7,TF8,TF9,TF10,TF11,TF12,TF13,TF14,TF15,TF16,TF17,TF18,TF19,TF20,TF21,TF22,TF23,TF24,TF25,TF26,TF27,TF28,TF29,TF30,TF31,TF32,TF33,TF34,TF35,TF36,TF37,TF38,TF39,TF40,TF41,TF42,TF43,TF44,TF45,TF46,TF47,TF48,TF49,TF50,TF51,TF52,TF53,TF54,TF55,TF56,TF57,TF58,TF59,TF60,TF61,TF62,TF63,TF64,TF65,TF66,TF67,TF68,TF69,TF70,TF71,TF72,TF73,TF74,TF76,TF77,TF78,TF80,TF81,TF82,TF83,TF85,TF86,TF87,TF89,TF90,TF91,TF93,TF94,TF95,TF97,TF98,TF99,TF101,TF102,TF103,TF105,TF106,TF107,TF109,TF110,TF111,TF113,TF114,TF115,TF116
2021 10 27,1," 2,456 "," 412,237,636 ", 604.00 ,25%," 40,197,448 ",10%, 750.00 ,0.31," 79,261,751 ",0.19,394,0.16," 42,383,688 ",0.1," 1,417.06 ",389.35,0.803857683," 2,200 ",766.5,93.87,36.86,162," 2,544,676.77 "," 4,061,601.20 "," 29,231,836.00 "," 18,477.00 ",15.16,25.16,185,1,10.6,24.041,97,1,175," 32,409,951 ",0.07,0.08,1436," 169,792,578 ",0.58,0.41,389," 58,112,406 ",0.16,0.14,1222," 144,090,123 ",0.5,0.35,845,0.34," 210,035,107 ",0.51,1611,0.66," 202,202,529 ",0.49,784,0.49," 95,454,998 ",0.47,0.51," 106,747,531 ",0.53,6152.06,38917.68,4000,414912,0,44.51,54.56,233," 6,181,631.78 "," 8,365,814.36 "," 27,794,366.00 ",99,153.97,134.0,402," 24,442,501.70 "," 25,027,445.86 "," 79,157,566.00 ",78.07,94.22,327," 11,891,596.91 "," 13,952,973.56 "," 57,525,388.00 ",88.28,87.56,256," 12,261,750.31 "," 13,634,497.82 "," 43,274,869.00 ",11.62,36.42,273," 2,749,988.89 "," 7,867,926.90 "," 56,104,980.00 ",200,0.081433225,8203687,0.02
2021 10 28,1," 2,544 "," 420,936,024 ", 739.00 ,29%," 48,936,186 ",12%, 779.00 ,0.31," 80,148,233 ",0.19,442,0.17," 44,542,041 ",0.11," 1,385.32 ",359.78,0.929978687," 2,200 ",766.5,96.26,35.68,162," 2,598,370.52 "," 4,161,643.45 "," 32,869,142.00 "," 18,477.00 ",15.7,27.17,239,1,12.82,26.404,97,1,173," 32,611,973 ",0.07,0.08,1565," 179,577,177 ",0.62,0.43,389," 58,702,728 ",0.15,0.14,1349," 153,486,422 ",0.53,0.36,806,0.32," 208,746,874 ",0.5,1738,0.68," 212,189,150 ",0.5,806,0.46," 98,412,268 ",0.46,0.54," 113,776,882 ",0.54,4183.02,27142.46,4000,414912,0,46.27,59.28,269," 6,063,980.51 "," 8,420,245.73 "," 30,383,932.00 ",93,136.78,120.66,373," 21,573,729.40 "," 22,602,433.10 "," 76,260,435.00 ",75.12,99.18,331," 10,949,834.98 "," 14,112,621.29 "," 54,591,578.00 ",83.29,84.11,293," 11,308,725.38 "," 12,602,971.37 "," 40,345,762.00 ",8.61,26.94,191," 2,244,416.37 "," 7,296,066.93 "," 53,203,146.00 ",175,0.068789308,7470850,0.02
2021 10 29,1," 2,679 "," 430,587,334 ", 791.00 ,30%," 55,664,676 ",13%, 821.00 ,0.31," 81,104,093 ",0.19,508,0.19," 48,624,395 ",0.11," 1,400.58 ",370.87,0.895595743," 2,200 ",766.5,95.0,35.86,160," 2,691,170.84 "," 4,377,855.27 "," 38,923,195.00 "," 18,477.00 ",16.74,30.83,305,1,14.67,28.744,97,1,180," 32,735,454 ",0.07,0.08,1610," 181,410,352 ",0.6,0.42,421," 58,915,709 ",0.16,0.14,1369," 155,230,097 ",0.51,0.36,889,0.33," 216,441,528 ",0.5,1790,0.67," 214,145,806 ",0.5,885,0.49," 101,080,376 ",0.47,0.51," 113,065,430 ",0.53,10948.38,57980.64,4000,414912,0,53.42,65.5,293," 6,421,463.17 "," 8,794,322.39 "," 33,498,142.00 ",95,154.42,131.51,388," 23,518,787.05 "," 23,941,493.33 "," 78,043,216.00 ",83.39,108.32,354," 11,887,222.98 "," 14,604,235.47 "," 56,374,359.00 ",96.76,92.57,312," 12,622,349.09 "," 13,615,204.49 "," 42,128,543.00 ",11.52,34.42,244," 2,577,415.19 "," 7,725,002.98 "," 54,985,927.00 ",109,0.040686823,3974575,0.01
2021 10 31,1," 2,595 "," 420,946,897 ", 690.00 ,27%," 46,751,880 ",11%, 746.00 ,0.29," 74,087,728 ",0.18,467,0.18," 45,033,241 ",0.11," 1,412.94 ",370.58,0.865714023," 2,200 ",766.5,92.89,36.34,166," 2,535,824.68 "," 4,191,752.28 "," 36,146,834.00 "," 14,441.00 ",15.63,29.27,262,1,13.43,27.289,97,1,175," 32,917,730 ",0.07,0.08,1515," 173,591,819 ",0.58,0.41,389," 56,931,622 ",0.15,0.14,1301," 149,577,927 ",0.5,0.36,905,0.35," 214,437,348 ",0.51,1690,0.65," 206,509,549 ",0.49,801,0.47," 96,073,006 ",0.47,0.53," 110,436,543 ",0.53,9869.92,53848.81,4000,414912,0,51.81,68.55,300," 6,383,605.32 "," 9,077,709.63 "," 33,792,882.00 ",96,149.27,126.84,395," 24,075,004.35 "," 24,798,843.34 "," 78,043,216.00 ",76.94,104.14,346," 12,054,333.96 "," 14,839,105.58 "," 56,374,359.00 ",94.89,95.01,325," 12,720,343.29 "," 14,016,060.68 "," 42,128,543.00 ",12.75,37.54,244," 2,771,285.15 "," 7,796,743.53 "," 54,985,927.00 ",30,0.011560694,1031294,0.0
2021 11 02,1," 2,338 "," 406,329,053 ", 601.00 ,26%," 41,707,798 ",10%, 662.00 ,0.28," 69,684,152 ",0.17,416,0.18," 42,511,124 ",0.1," 1,408.40 ",363.7,0.852823996," 2,200 ",785.5,92.96,36.8,167," 2,433,108.10 "," 4,015,925.41 "," 33,497,035.00 "," 14,441.00 ",14.0,24.56,219,1,12.8,26.455,97,1,179," 32,634,911 ",0.08,0.08,1361," 164,689,359 ",0.58,0.41,354," 53,837,004 ",0.15,0.13,1186," 143,487,266 ",0.51,0.35,798,0.34," 209,004,783 ",0.51,1540,0.66," 197,324,270 ",0.49,730,0.47," 91,849,329 ",0.47,0.53," 105,474,941 ",0.53,3966.97,27012.21,4000,414911,0,43.1,58.36,262," 5,856,498.20 "," 8,493,334.95 "," 31,785,506.00 ",106,134.97,112.01,355," 22,881,924.75 "," 23,411,265.82 "," 75,939,482.00 ",70.35,91.61,304," 11,633,414.47 "," 14,327,576.40 "," 54,270,625.00 ",82.16,81.08,282," 11,610,013.07 "," 12,798,896.90 "," 40,024,809.00 ",11.38,32.68,189," 2,702,813.73 "," 7,802,829.50 "," 52,882,193.00 ",176,0.075278015,6951286,0.02
2021 11 03,1," 2,429 "," 407,728,288 ", 642.00 ,26%," 40,030,667 ",10%, 824.00 ,0.34," 79,234,023 ",0.19,445,0.18," 41,652,906 ",0.1," 1,393.64 ",387.26,0.880218404," 2,200 ",800.0,95.62,36.82,169," 2,412,593.42 "," 3,850,097.66 "," 30,004,733.00 "," 17,856.00 ",14.37,26.38,244,1,13.07,26.665,97,1,182," 31,351,208 ",0.07,0.08,1554," 167,800,557 ",0.64,0.41,427," 57,377,430 ",0.18,0.14,1309," 141,774,335 ",0.54,0.35,693,0.29," 208,576,523 ",0.51,1736,0.71," 199,151,765 ",0.49,893,0.51," 98,853,151 ",0.5,0.49," 100,298,614 ",0.5,5504.26,35435.22,4000,414911,0,48.33,55.37,244," 5,876,447.10 "," 7,650,096.43 "," 26,692,829.00 ",104,176.4,153.55,494," 24,802,152.58 "," 23,869,271.61 "," 79,394,221.00 ",94.73,106.06,418," 12,380,784.01 "," 13,378,667.30 "," 57,725,364.00 ",99.26,90.06,268," 12,245,609.34 "," 12,729,272.67 "," 43,479,548.00 ",10.0,31.93,238," 2,590,884.28 "," 7,980,404.18 "," 56,336,932.00 ",99,0.040757513,3394993,0.01
2021 11 05 ,1," 1,127 "," 71,490,927 ", 724.00 ,64%," 46,889,265 ",66%, 223.00 ,0.2," 9,828,626 ",0.14,239,0.21," 11,465,947 ",0.16," 1,318.70 ",170.12,-0.284697874," 1,607 ",785.5,108.1,16.16,55," 1,299,835.04 "," 3,319,209.63 "," 22,993,349.00 "," 13,597.00 ",20.49,42.4,280,1,28.53,37.401,97,1,104," 4,705,187 ",0.09,0.07,956," 64,203,813 ",0.85,0.9,138," 7,255,667 ",0.12,0.1,922," 61,653,333 ",0.82,0.86,67,0.06," 2,581,927 ",0.04,1060,0.94," 68,909,000 ",0.96,341,0.32," 16,470,614 ",0.24,0.68," 52,438,386 ",0.76,9014.38,54617.06,3,414911,0,66.17,74.25,260," 5,206,782.80 "," 6,925,669.44 "," 21,659,826.00 ",16,102.1,96.74,296," 7,632,279.09 "," 8,879,445.55 "," 25,535,465.00 ",63.7,93.2,277," 5,706,443.38 "," 8,964,756.13 "," 24,217,372.00 ",91.58,89.64,272," 6,566,811.50 "," 7,699,243.25 "," 23,474,138.00 ",0.0,0.0,0, -   , -   , -   ,75,0.066548358,2538489,0.04
2021 11 08,1," 2,175 "," 407,992,041 ", 654.00 ,30%," 49,386,554 ",12%, 730.00 ,0.34," 78,266,446 ",0.19,398,0.18," 41,420,391 ",0.1," 1,370.13 ",352.88,0.885998235," 2,200 ",800.0,96.5,36.56,165," 2,472,679.04 "," 4,091,252.96 "," 37,210,439.00 "," 18,130.00 ",13.18,25.75,264,1,15.38,29.268,102,1,185," 32,442,531 ",0.09,0.08,1448," 168,912,759 ",0.67,0.41,383," 55,304,764 ",0.18,0.14,1250," 146,050,526 ",0.57,0.36,542,0.25," 206,636,751 ",0.51,1633,0.75," 201,355,290 ",0.49,806,0.49," 95,394,351 ",0.47,0.51," 105,960,939 ",0.53,9072.0,51189.18,4000,414910,0,45.28,56.36,244," 5,974,446.31 "," 8,465,987.38 "," 31,320,277.00 ",108,143.57,126.7,414," 21,964,585.87 "," 20,920,997.81 "," 77,863,883.00 ",84.09,96.73,358," 11,936,043.33 "," 13,956,157.11 "," 55,172,375.00 ",85.62,82.1,262," 11,288,117.79 "," 11,849,707.42 "," 40,703,330.00 ",6.61,19.53,115," 2,209,123.89 "," 7,847,881.41 "," 53,565,617.00 ",253,0.116321839,13620215,0.03
2021 11 10,1," 2,663 "," 446,630,601 ", 725.00 ,27%," 50,873,444 ",11%, 883.00 ,0.33," 89,577,649 ",0.2,452,0.17," 48,222,998 ",0.11," 1,402.43 ",379.06,0.76478015," 2,200 ",800.0,94.94,36.25,165," 2,706,852.13 "," 4,350,482.74 "," 35,582,385.00 "," 20,408.00 ",16.14,27.71,236,1,12.25,25.374,102,1,219," 34,512,963 ",0.08,0.08,1686," 190,050,502 ",0.63,0.43,477," 62,902,091 ",0.18,0.14,1428," 161,661,374 ",0.54,0.36,758,0.28," 222,067,136 ",0.5,1905,0.72," 224,563,465 ",0.5,958,0.5," 106,912,634 ",0.48,0.5," 117,650,831 ",0.52,3822.34,25320.69,4000,414910,0,46.12,50.64,231," 6,130,061.17 "," 8,136,033.34 "," 30,340,079.00 ",98,168.44,150.09,525," 24,596,947.55 "," 24,781,917.18 "," 87,199,134.00 ",92.16,105.23,422," 12,689,859.17 "," 14,917,282.63 "," 61,106,279.00 ",92.91,82.99,260," 12,217,290.98 "," 13,004,275.64 "," 46,616,896.00 ",8.95,29.14,218," 2,500,806.74 "," 8,470,814.54 "," 62,020,183.00 ",207,0.077731881,13157905,0.03
2021 11 11,1," 3,093 "," 488,488,490 "," 1,132.00 ",37%," 87,781,110 ",18%, 954.00 ,0.31," 94,217,189 ",0.19,547,0.18," 53,550,954 ",0.11," 1,380.93 ",345.92,0.862398578," 2,200 ",800.0,98.62,33.96,164," 2,978,588.35 "," 5,057,208.92 "," 47,350,049.00 "," 20,408.00 ",18.86,40.91,446,1,15.68,28.287,102,1,233," 35,426,060 ",0.08,0.07,2140," 232,433,554 ",0.69,0.48,515," 65,169,878 ",0.17,0.13,1858," 202,689,736 ",0.6,0.41,720,0.23," 220,628,876 ",0.45,2373,0.77," 267,859,614 ",0.55,956,0.4," 108,392,587 ",0.4,0.6," 159,467,027 ",0.6,3529.13,23517.06,4000,414910,0,68.21,88.44,346," 7,830,305.74 "," 11,103,105.98 "," 39,423,659.00 ",96,208.19,182.35,569," 26,979,948.94 "," 24,160,115.19 "," 85,478,119.00 ",130.43,144.6,465," 15,529,403.09 "," 16,643,603.68 "," 59,757,972.00 ",126.68,123.06,388," 14,609,835.76 "," 14,827,728.17 "," 46,613,987.00 ",6.72,23.47,180," 2,003,764.57 "," 7,697,184.48 "," 60,265,129.00 ",159,0.051406402,10236654,0.02
2021 11 12,1," 3,358 "," 505,339,277 "," 1,145.00 ",34%," 87,078,762 ",17%," 1,106.00 ",0.33," 104,790,122 ",0.21,638,0.19," 58,818,122 ",0.12," 1,369.71 ",342.31,0.876170617," 2,200 ",800.0,98.75,34.01,165," 3,062,662.28 "," 4,866,487.93 "," 42,769,829.00 "," 20,228.00 ",20.35,40.75,421,1,14.15,26.619,97,1,263," 37,185,846 ",0.08,0.07,2303," 241,856,841 ",0.69,0.48,612," 71,518,013 ",0.18,0.14,1954," 207,524,674 ",0.58,0.41,792,0.24," 226,296,590 ",0.45,2566,0.76," 279,042,687 ",0.55,1131,0.44," 120,486,150 ",0.43,0.56," 158,556,537 ",0.57,3867.89,25704.75,4000,414910,0,67.46,79.03,330," 7,310,537.99 "," 9,303,129.67 "," 34,989,438.00 ",99,236.52,211.0,692," 28,747,799.49 "," 24,253,172.12 "," 85,440,744.00 ",141.2,155.36,581," 15,994,172.24 "," 16,389,949.30 "," 59,757,972.00 ",136.67,125.96,378," 14,946,216.74 "," 13,720,737.06 "," 45,288,927.00 ",8.71,28.48,184," 2,151,790.13 "," 7,769,386.98 "," 60,227,754.00 ",151,0.044967242,7458837,0.01
2021 11 15,1," 2,945 "," 474,783,764 ", 971.00 ,33%," 73,329,405 ",15%, 963.00 ,0.33," 93,136,347 ",0.2,519,0.18," 49,539,124 ",0.1," 1,366.67 ",333.36,0.809922701," 2,200 ",800.0,97.75,34.63,164," 2,895,022.95 "," 4,391,337.66 "," 35,730,331.00 "," 22,447.00 ",17.96,33.93,339,1,13.54,25.908,97,1,243," 36,016,490 ",0.08,0.08,1983," 217,727,386 ",0.67,0.46,534," 66,245,511 ",0.18,0.14,1692," 187,498,365 ",0.57,0.39,719,0.24," 221,039,888 ",0.47,2226,0.76," 253,743,876 ",0.53,1025,0.46," 113,120,186 ",0.45,0.54," 140,623,690 ",0.55,3760.75,22849.44,4000,414909,0,56.09,62.27,274," 6,077,175.77 "," 7,558,562.63 "," 29,585,117.00 ",98,200.07,175.52,591," 25,624,812.79 "," 21,708,315.03 "," 83,034,790.00 ",113.5,124.43,505," 13,761,661.10 "," 14,176,455.89 "," 57,840,353.00 ",115.04,100.9,308," 12,886,900.98 "," 11,487,656.61 "," 43,371,308.00 ",7.89,26.52,206," 2,158,247.37 "," 7,787,013.68 "," 58,082,113.00 ",278,0.094397284,12646919,0.03
2021 11 16,1," 2,862 "," 473,402,413 ", 987.00 ,34%," 75,640,988 ",16%, 894.00 ,0.31," 90,027,188 ",0.19,501,0.18," 49,977,986 ",0.11," 1,385.86 ",352.84,0.853027338," 2,200 ",800.0,97.89,34.36,165," 2,869,105.53 "," 4,400,850.54 "," 35,808,925.00 "," 22,447.00 ",17.35,33.74,348,1,14.05,26.567,97,1,233," 35,508,593 ",0.08,0.08,1965," 217,391,202 ",0.69,0.46,511," 64,131,306 ",0.18,0.14,1687," 188,768,489 ",0.59,0.4,664,0.23," 220,502,618 ",0.47,2198,0.77," 252,899,795 ",0.53,978,0.44," 109,880,116 ",0.43,0.56," 143,019,679 ",0.57,2570.98,15557.5,3,414909,0,55.17,64.66,280," 6,315,674.05 "," 8,106,311.42 "," 29,786,136.00 ",99,192.8,166.97,540," 26,159,962.41 "," 23,570,095.75 "," 86,012,348.00 ",112.25,123.31,477," 13,882,924.16 "," 14,716,385.57 "," 60,820,849.00 ",113.25,102.29,325," 13,501,746.00 "," 12,915,011.19 "," 46,348,866.00 ",7.56,25.68,192," 2,229,340.96 "," 8,140,416.84 "," 61,062,609.00 ",195,0.068134172,9710308,0.02
2021 11 17,1," 3,069 "," 481,184,470 "," 1,002.00 ",33%," 75,471,523 ",16%, 952.00 ,0.31," 93,188,103 ",0.19,514,0.17," 50,398,075 ",0.1," 1,386.23 ",347.85,0.803135106," 2,200 ",757.0,96.57,34.51,166," 2,898,701.63 "," 4,410,481.70 "," 35,371,707.00 "," 20,404.00 ",18.49,35.51,352,1,13.66,26.373,102,1,242," 37,605,519 ",0.08,0.08,2020," 218,100,821 ",0.66,0.45,543," 67,483,204 ",0.18,0.14,1719," 188,223,136 ",0.56,0.39,807,0.26," 225,478,130 ",0.47,2262,0.74," 255,706,340 ",0.53,1026,0.45," 113,285,970 ",0.44,0.55," 142,420,370 ",0.56,5324.31,36422.96,4000,414909,0,56.9,64.55,290," 6,267,651.60 "," 7,830,855.33 "," 29,420,588.00 ",96,199.35,167.4,554," 26,725,574.17 "," 23,628,637.38 "," 86,012,348.00 ",112.34,125.24,486," 14,034,716.87 "," 14,588,006.38 "," 60,820,849.00 ",117.88,103.21,336," 13,612,182.25 "," 12,638,792.60 "," 46,348,866.00 ",9.35,30.73,204," 2,358,904.70 "," 8,041,786.44 "," 61,062,609.00 ",195,0.063538612,9419595,0.02
2021 11 18,1," 3,045 "," 479,959,795 "," 1,128.00 ",37%," 76,228,436 ",16%, 993.00 ,0.33," 96,466,549 ",0.2,569,0.19," 53,702,969 ",0.11," 1,374.58 ",347.63,0.90496614," 2,200 ",757.0,98.73,33.5,164," 2,926,584.12 "," 4,339,080.35 "," 33,837,747.00 "," 20,404.00 ",18.57,36.35,375,1,14.27,26.719,102,1,256," 38,051,037 ",0.08,0.08,2060," 217,932,923 ",0.68,0.45,550," 68,954,141 ",0.18,0.14,1766," 187,029,819 ",0.58,0.39,729,0.24," 223,975,835 ",0.47,2316,0.76," 255,983,960 ",0.53,1024,0.44," 114,118,739 ",0.45,0.56," 141,865,221 ",0.55,6536.22,42798.29,4000,414909,0,53.27,59.01,265," 5,743,750.97 "," 7,007,144.77 "," 27,292,772.00 ",97,180.85,159.18,531," 24,343,653.79 "," 22,938,883.54 "," 85,972,817.00 ",104.87,119.36,466," 12,722,533.69 "," 14,004,493.75 "," 60,781,318.00 ",107.03,94.47,320," 12,412,368.62 "," 11,847,522.36 "," 46,309,335.00 ",7.11,24.96,192," 2,093,784.55 "," 7,900,613.09 "," 61,023,078.00 ",127,0.041707718,5627091,0.01
2021 11 22,1," 3,070 "," 487,226,331 "," 1,038.00 ",34%," 78,940,152 ",16%," 1,033.00 ",0.34," 101,742,250 ",0.21,583,0.19," 58,437,359 ",0.12," 1,370.14 ",346.57,0.855858503," 2,200 ",757.0,98.65,34.17,164," 2,970,892.26 "," 4,064,560.19 "," 29,571,485.00 "," 20,404.00 ",18.72,32.2,297,1,12.01,24.223,97,1,220," 38,927,312 ",0.07,0.08,2058," 221,991,277 ",0.67,0.46,530," 71,352,582 ",0.17,0.15,1748," 189,566,007 ",0.57,0.39,792,0.26," 226,307,742 ",0.46,2278,0.74," 260,918,589 ",0.54,1026,0.45," 119,092,267 ",0.46,0.55," 141,826,322 ",0.54,2798.09,13039.1,4000,414908,0,44.24,41.92,195," 4,812,369.43 "," 5,326,238.43 "," 26,450,156.00 ",92,168.04,151.32,538," 22,959,732.99 "," 21,942,282.42 "," 85,169,277.00 ",93.75,107.42,464," 11,770,367.20 "," 13,289,765.90 "," 59,978,387.00 ",93.25,79.36,257," 11,111,283.85 "," 10,467,594.95 "," 45,505,795.00 ",7.41,24.72,172," 2,120,079.95 "," 7,831,789.22 "," 60,220,147.00 ",234,0.076221498,12891537,0.03
2021 11 23,1," 3,056 "," 485,721,704 "," 1,025.00 ",34%," 77,261,512 ",16%," 1,092.00 ",0.36," 103,688,399 ",0.21,632,0.21," 60,375,730 ",0.12," 1,343.78 ",331.44,0.929939978," 2,200 ",757.0,100.89,33.37,164," 2,961,717.71 "," 3,945,576.76 "," 27,723,596.00 "," 20,928.00 ",18.63,31.08,273,1,11.69,23.668,97,1,233," 39,250,023 ",0.08,0.08,2131," 223,875,876 ",0.7,0.46,545," 71,893,482 ",0.18,0.15,1819," 191,232,417 ",0.6,0.39,692,0.23," 222,595,805 ",0.46,2364,0.77," 263,125,899 ",0.54,1064,0.45," 119,657,399 ",0.45,0.55," 143,468,500 ",0.55,3063.4,21197.15,3,414908,0,43.88,41.53,192," 4,458,253.73 "," 4,889,888.19 "," 25,581,168.00 ",88,177.18,172.56,598," 21,737,144.50 "," 20,497,611.05 "," 83,406,932.00 ",100.31,117.82,514," 11,331,626.91 "," 13,109,375.31 "," 58,168,673.00 ",96.85,87.11,290," 10,391,536.00 "," 9,362,959.75 "," 43,670,730.00 ",5.28,18.25,126," 1,811,337.29 "," 7,504,904.57 "," 58,410,433.00 ",231,0.075589005,12642581,0.03
2021 11 25,1," 3,516 "," 500,069,027 "," 1,234.00 ",35%," 79,903,783 ",16%," 1,194.00 ",0.34," 110,463,334 ",0.22,709,0.2," 64,007,252 ",0.13," 1,361.76 ",337.5,0.852156557," 2,200 ",757.0,98.63,33.97,164," 3,049,201.38 "," 4,113,628.91 "," 28,908,968.00 "," 21,341.00 ",21.44,37.23,336,1,11.81,23.722,97,1,283," 42,379,714 ",0.08,0.08,2276," 224,095,226 ",0.65,0.45,607," 76,083,828 ",0.17,0.15,1952," 190,391,112 ",0.56,0.38,957,0.27," 233,594,087 ",0.47,2559,0.73," 266,474,940 ",0.53,1191,0.47," 125,850,105 ",0.47,0.53," 140,624,835 ",0.53,3137.79,22084.73,3,414908,0,53.69,48.92,209," 5,112,955.15 "," 5,548,110.87 "," 26,899,635.00 ",85,213.34,189.11,655," 25,197,528.39 "," 22,789,961.63 "," 85,875,353.00 ",115.29,129.89,580," 13,041,553.72 "," 14,007,948.76 "," 59,386,977.00 ",117.83,99.53,340," 11,883,998.38 "," 10,633,369.38 "," 44,916,098.00 ",9.06,31.45,247," 2,131,674.36 "," 7,560,309.31 "," 59,839,686.00 ",122,0.034698521,4886966,0.01
2021 11 26,1," 3,557 "," 506,064,202 "," 1,197.00 ",34%," 77,037,675 ",15%," 1,212.00 ",0.34," 111,895,790 ",0.22,727,0.2," 65,596,346 ",0.13," 1,358.62 ",336.13,0.875710792," 2,200 ",757.0,98.31,33.78,164," 3,085,757.33 "," 4,108,446.11 "," 27,691,560.00 "," 21,341.00 ",21.69,36.2,300,1,11.13,22.518,97,1,279," 41,951,308 ",0.08,0.08,2303," 228,945,036 ",0.65,0.45,604," 75,845,432 ",0.17,0.15,1978," 195,050,912 ",0.56,0.39,975,0.27," 235,167,858 ",0.46,2582,0.73," 270,896,344 ",0.54,1193,0.46," 126,293,988 ",0.47,0.54," 144,602,356 ",0.53,3374.57,23010.69,4000,414908,0,50.25,43.18,195," 4,924,038.65 "," 5,253,974.89 "," 26,899,635.00 ",85,207.86,184.75,649," 25,074,100.49 "," 22,946,475.32 "," 85,875,353.00 ",111.49,129.75,580," 12,935,188.33 "," 14,198,337.99 "," 59,386,977.00 ",116.94,99.94,358," 11,929,304.38 "," 10,641,146.51 "," 44,916,098.00 ",9.45,32.45,250," 2,180,715.98 "," 7,600,135.01 "," 59,839,686.00 ",89,0.025021085,3662640,0.01
2021 11 29,1," 3,259 "," 495,204,267 "," 1,000.00 ",31%," 66,869,930 ",14%," 1,132.00 ",0.35," 108,010,817 ",0.22,677,0.21," 63,800,322 ",0.13," 1,345.07 ",327.11,0.901558226," 2,200 ",757.0,98.48,34.32,167," 2,965,295.01 "," 3,787,927.56 "," 24,102,475.00 "," 20,612.00 ",19.51,30.31,221,1,10.44,21.477,97,1,296," 44,699,721 ",0.09,0.09,2125," 221,169,575 ",0.65,0.45,598," 76,550,763 ",0.18,0.15,1823," 189,318,533 ",0.56,0.38,838,0.26," 229,334,971 ",0.46,2421,0.74," 265,869,296 ",0.54,1157,0.48," 124,319,158 ",0.47,0.52," 141,550,138 ",0.53,8537.13,51283.87,4000,414907,0,43.28,37.02,167," 4,372,285.88 "," 4,414,744.30 "," 25,281,907.00 ",89,178.94,164.66,605," 22,546,030.67 "," 21,269,784.93 "," 83,604,012.00 ",90.2,114.08,527," 11,117,957.66 "," 13,495,511.90 "," 57,869,412.00 ",101.19,90.38,345," 10,787,621.41 "," 9,657,402.56 "," 43,371,469.00 ",10.02,31.79,225," 2,265,674.79 "," 7,889,955.60 "," 58,041,368.00 ",273,0.083768027,13889425,0.03
2021 11 30,1," 3,174 "," 490,342,233 ", 986.00 ,31%," 65,132,869 ",13%," 1,128.00 ",0.36," 107,807,540 ",0.22,668,0.21," 63,662,247 ",0.13," 1,338.64 ",329.01,0.956815834," 2,200 ",757.0,99.53,34.01,167," 2,936,181.04 "," 3,684,698.10 "," 24,087,478.00 "," 20,612.00 ",19.01,29.9,223,1,10.7,21.892,97,1,300," 44,972,967 ",0.09,0.09,2098," 219,109,014 ",0.66,0.45,611," 77,638,705 ",0.19,0.16,1787," 186,443,276 ",0.56,0.38,776,0.24," 226,260,252 ",0.46,2398,0.76," 264,081,981 ",0.54,1143,0.48," 123,490,359 ",0.47,0.52," 140,591,622 ",0.53,6380.02,41927.65,4000,414907,0,42.41,36.85,169," 4,292,962.88 "," 4,417,446.23 "," 25,281,907.00 ",90,170.14,160.49,595," 21,690,372.82 "," 21,060,196.06 "," 83,604,012.00 ",88.66,113.35,507," 10,642,934.63 "," 13,345,507.43 "," 63,749,168.00 ",96.17,86.36,327," 10,507,312.63 "," 10,037,616.28 "," 50,061,709.00 ",7.99,25.37,165," 2,164,461.45 "," 8,343,178.28 "," 64,731,608.00 ",216,0.06805293,10579792,0.02
2021 12 01,1," 3,293 "," 503,295,165 ", 887.00 ,27%," 60,644,496 ",12%," 1,153.00 ",0.35," 112,016,157 ",0.22,660,0.2," 71,213,250 ",0.14," 1,355.29 ",348.05,0.910278866," 2,200 ",757.0,97.96,34.97,166," 3,031,898.58 "," 3,733,907.04 "," 22,875,135.00 "," 20,612.00 ",19.84,28.45,206,1,9.61,20.844,97,1,347," 53,598,582 ",0.11,0.11,2039," 217,981,993 ",0.62,0.43,669," 87,084,320 ",0.2,0.17,1717," 184,496,255 ",0.52,0.37,907,0.28," 231,714,590 ",0.46,2386,0.72," 271,580,575 ",0.54,1220,0.51," 134,183,286 ",0.49,0.49," 137,397,289 ",0.51,5225.67,35164.15,4000,414907,0,43.76,38.14,173," 4,779,450.03 "," 4,896,257.26 "," 25,435,697.00 ",89,193.08,182.27,653," 25,228,263.80 "," 23,948,939.94 "," 85,802,653.00 ",98.03,122.62,558," 12,155,727.29 "," 14,279,546.28 "," 65,844,582.00 ",104.0,92.59,340," 11,995,944.97 "," 11,790,642.19 "," 52,191,202.00 ",11.23,34.8,228," 2,531,526.35 "," 8,681,342.59 "," 66,827,022.00 ",168,0.051017309,7619174,0.02
